12-11-2020 11:37:24.622 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE/SERVER/ADD_SENSOR_REQ/#] subscribe topic [GATE/SERVER/ADD_SENSOR_REQ/#] SUCCESS!
12-11-2020 11:37:24.649 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE_REQ_DISPLAY_SENSOR_1ELCGW-001-00000000649af265] subscribe topic [GATE_REQ_DISPLAY_SENSOR_ELCGW-001-00000000649af265] SUCCESS!
12-11-2020 11:37:24.674 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:24.681 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE/SERVER/ADD_SENSOR_REQ/#] subscribe topic [GATE/SERVER/ADD_SENSOR_REQ/#] SUCCESS!
12-11-2020 11:37:24.707 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE_REQ_DISPLAY_SENSOR_1ELCGW-001-00000000649af266] subscribe topic [GATE_REQ_DISPLAY_SENSOR_ELCGW-001-00000000649af266] SUCCESS!
12-11-2020 11:37:24.728 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:24.737 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE/SERVER/ADD_SENSOR_REQ/#] subscribe topic [GATE/SERVER/ADD_SENSOR_REQ/#] SUCCESS!
12-11-2020 11:37:24.769 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE_REQ_DISPLAY_SENSOR_1ELCGW-001-00000000649af267] subscribe topic [GATE_REQ_DISPLAY_SENSOR_ELCGW-001-00000000649af267] SUCCESS!
12-11-2020 11:37:24.796 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:24.809 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE/SERVER/ADD_SENSOR_REQ/#] subscribe topic [GATE/SERVER/ADD_SENSOR_REQ/#] SUCCESS!
12-11-2020 11:37:25.694 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:25.748 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:25.815 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:26.763 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
12-11-2020 11:37:26.773 INFO  c.e.v.mqtt.MqttSubscriberInitApp.connectionLost - Connection lost because: Connection lost (32109) - java.io.EOFException
